Community,Feature,Degree
1,gene_11566,22
1,gene_12808,21
1,gene_13818,22
1,gene_14114,23
1,gene_14503,21
1,gene_1510,22
1,gene_16130,23
1,gene_16131,21
1,gene_16132,22
1,gene_16169,23
1,gene_16246,21
1,gene_219,23
1,gene_220,23
1,gene_2288,21
1,gene_450,23
1,gene_6733,22
1,gene_7116,20
1,gene_7421,23
2,gene_11059,7
2,gene_16337,10
2,gene_16342,26
2,gene_1858,24
2,gene_3439,25
2,gene_3461,22
2,gene_3921,17
2,gene_5829,9
2,gene_6816,26
2,gene_7896,7
2,gene_7964,2
2,gene_7965,9
3,gene_12847,9
3,gene_12848,9
3,gene_12995,9
3,gene_13976,9
3,gene_16358,9
3,gene_203,9
3,gene_3737,9
3,gene_9175,9
3,gene_9176,9
3,gene_9626,9
4,gene_11550,5
4,gene_11903,5
4,gene_15894,5
4,gene_15895,5
4,gene_15896,5
4,gene_15898,5
5,gene_2037,4
5,gene_3523,4
5,gene_7238,4
5,gene_7560,4
