Node,Degree
gene_9175,9
gene_9176,9
gene_220,23
gene_219,23
gene_15895,5
gene_14114,23
gene_15898,5
gene_13818,22
gene_3439,25
gene_7421,23
gene_6733,22
gene_7964,2
gene_3737,9
gene_16169,23
gene_450,23
gene_3921,17
gene_1858,24
gene_3523,4
gene_16132,22
gene_12995,9
gene_7896,7
gene_12808,21
gene_203,9
gene_2037,4
gene_1510,22
gene_15896,5
gene_11903,5
gene_16342,26
gene_13976,9
gene_3461,22
gene_7965,9
gene_11566,22
gene_16246,21
gene_16130,23
gene_16358,9
gene_14503,21
gene_2288,21
gene_9626,9
gene_15894,5
gene_7116,20
gene_11059,7
gene_5829,9
gene_16337,10
gene_16131,21
gene_12848,9
gene_7238,4
gene_6816,26
gene_7560,4
gene_12847,9
gene_11550,5
