PC1,PC2,Class
45.29205,97.82924,PRAD
12.730731,-11.558975,LUAD
65.841835,-6.9825516,PRAD
47.506805,6.4241066,PRAD
21.796741,-40.637367,BRCA
16.730478,33.863556,PRAD
-44.514164,65.32872,KIRC
-15.981423,36.37119,PRAD
2.0269299,-65.12788,BRCA
28.043083,20.650892,PRAD
17.926939,-9.145855,BRCA
-84.16392,29.235287,KIRC
-2.6152544,20.692541,PRAD
68.04471,63.401962,BRCA
47.450516,-26.318998,BRCA
-5.085055,-39.588383,BRCA
-3.8830283,-9.542314,LUAD
-78.969795,16.98623,KIRC
-79.61312,8.78223,KIRC
27.668882,9.708186,PRAD
-1.8610348,-108.09061,BRCA
-34.15385,-5.6197023,KIRC
2.8197722,-8.205742,LUAD
63.605186,2.3564003,BRCA
-89.77329,-17.916477,KIRC
-29.669003,-1.5167139,LUAD
45.650993,13.809939,COAD
18.428268,-32.626225,BRCA
26.139482,-20.672113,BRCA
37.84753,-45.47897,BRCA
25.341413,-23.109772,BRCA
-1.6504796,-100.581314,BRCA
-77.43247,-6.5743914,KIRC
18.75871,60.030064,BRCA
23.31449,43.703964,PRAD
22.906105,-48.45682,BRCA
-63.15113,7.2065377,KIRC
-25.910147,4.623708,LUAD
23.420639,2.7212453,BRCA
42.076683,50.189533,BRCA
-97.734215,-9.638292,KIRC
20.665745,46.56339,PRAD
7.2448072,18.080149,PRAD
-69.11088,49.985126,KIRC
-85.236916,34.275208,KIRC
9.218945,-62.497463,BRCA
16.6826,95.829506,PRAD
68.29322,18.16707,COAD
25.357857,-53.46532,BRCA
7.767956,-15.729232,LUAD
9.771022,-65.959145,BRCA
24.281607,17.502195,LUAD
32.54572,-25.71564,BRCA
19.702314,33.269978,PRAD
79.10265,20.784758,COAD
60.193874,20.715904,BRCA
20.984558,-46.810814,BRCA
22.089989,-3.648243,COAD
-61.832767,63.544895,KIRC
1.6547954,-6.1178823,BRCA
11.278492,-8.003888,LUAD
-28.829283,-12.336449,KIRC
-29.405527,-61.641796,BRCA
-8.983801,13.019916,LUAD
38.65456,3.2267377,PRAD
47.965584,0.1911746,COAD
-5.838282,1.1344892,BRCA
29.4906,19.523321,PRAD
-76.99804,13.474857,KIRC
20.071339,8.101003,BRCA
-78.58735,35.057266,KIRC
5.2083335,-0.876887,BRCA
22.504879,33.55716,BRCA
-4.6095138,-6.6735954,LUAD
9.965184,-84.79176,BRCA
21.043196,0.54721296,LUAD
-8.14714,-31.630375,BRCA
-12.904335,104.96388,KIRC
13.939372,12.607735,PRAD
53.372055,24.32313,COAD
24.891928,-55.082027,BRCA
22.6722,21.311413,PRAD
25.017868,-32.274174,BRCA
12.411362,-65.55265,BRCA
19.92329,77.70806,PRAD
14.904203,38.859715,PRAD
36.310654,-57.695606,BRCA
35.168015,-7.1354795,BRCA
-76.18619,58.84437,KIRC
29.07907,-16.841642,BRCA
29.027817,35.859474,PRAD
40.649124,55.495464,PRAD
-22.03034,-39.969902,BRCA
34.108845,83.68744,BRCA
8.313017,-50.69763,BRCA
28.773869,30.170675,PRAD
54.41824,15.745121,COAD
12.603114,-49.308163,BRCA
-11.860946,-13.175805,PRAD
10.182165,-16.536821,BRCA
21.41954,-23.834173,BRCA
-88.4034,8.719481,KIRC
2.0405328,-43.066208,BRCA
-72.58279,43.939774,KIRC
13.360288,-6.588542,LUAD
-92.544945,2.1904745,KIRC
16.139067,18.935263,LUAD
40.105522,17.354864,COAD
17.705194,16.088947,LUAD
-0.9117304,-25.872036,LUAD
59.77717,113.615974,PRAD
-6.634506,-47.84308,BRCA
1.6179322,-13.861545,LUAD
18.44013,30.909946,PRAD
9.059119,-36.94226,BRCA
-85.401535,24.386637,KIRC
-90.50893,-10.176814,KIRC
-80.95562,25.332943,KIRC
-12.420726,-49.36547,BRCA
22.395912,-58.771587,BRCA
-7.9939632,-7.2723756,LUAD
-77.94869,13.231284,KIRC
13.396198,17.106844,LUAD
44.12887,-11.8165865,BRCA
11.554696,22.861372,PRAD
3.9011378,51.609604,PRAD
29.105614,54.99192,PRAD
2.0845246,-33.34788,BRCA
-85.847855,31.24204,KIRC
37.541443,-22.980457,LUAD
54.67652,21.537266,COAD
52.328026,11.907634,BRCA
77.78318,43.025986,COAD
23.71094,-18.372185,BRCA
41.023914,-25.50394,BRCA
-69.290726,32.80164,KIRC
-40.103333,7.323346,LUAD
21.13037,-28.290115,BRCA
-61.33184,27.002098,KIRC
55.16721,-12.893914,COAD
-0.49771458,-56.55602,BRCA
34.66561,41.675648,PRAD
-12.058149,-39.942898,BRCA
-41.368248,32.853436,KIRC
-35.334408,-26.776081,LUAD
66.2115,23.109755,COAD
0.3424535,77.50857,PRAD
3.2928166,-45.810055,BRCA
-4.499542,6.8705363,LUAD
30.132477,13.854963,LUAD
-17.966782,-27.356382,LUAD
12.928927,-13.318717,LUAD
30.777273,-48.81366,BRCA
13.256676,-63.899372,BRCA
-39.917984,-18.880192,LUAD
7.9710026,-16.076124,BRCA
-8.49132,-91.58606,BRCA
24.584826,9.637515,PRAD
17.730043,49.631958,PRAD
-18.92716,15.154322,LUAD
34.894924,104.28269,PRAD
-4.7813253,-1.4108034,LUAD
-82.22404,9.419086,KIRC
7.1746707,-0.7628568,BRCA
0.72927773,23.829632,PRAD
-1.5055889,-6.85353,LUAD
59.535862,7.424884,COAD
-75.72644,60.21893,KIRC
-0.8438648,-3.5863137,LUAD
-12.784284,-64.02897,BRCA
-82.06435,19.923569,KIRC
-0.34044614,-6.4508166,LUAD
30.648527,-50.396297,BRCA
21.591196,16.158861,LUAD
-6.5454845,-34.646362,BRCA
28.643967,43.456318,BRCA
21.710218,-1.1173955,BRCA
9.572915,28.278204,PRAD
17.937586,-17.805578,BRCA
-94.414856,-0.80435514,KIRC
68.65693,10.679437,COAD
-72.901024,13.051714,KIRC
4.1084104,-38.649704,BRCA
-8.0255995,24.748192,PRAD
50.84383,22.79827,PRAD
-21.08639,14.181539,PRAD
6.9753046,-5.755286,LUAD
-14.01734,-10.174616,LUAD
13.748069,-32.691063,BRCA
5.239101,19.371323,LUAD
-0.25849205,19.670927,LUAD
-85.425735,0.5096103,KIRC
38.881348,49.68935,LUAD
15.587297,-24.044106,PRAD
1.9280225,38.30003,LUAD
-33.900528,-32.082333,BRCA
54.950302,79.08056,BRCA
15.2643175,-75.70486,BRCA
15.32332,27.137936,LUAD
-3.612084,19.198658,LUAD
-33.67095,-30.733656,BRCA
-77.14015,5.0234585,KIRC
-90.07918,-6.3724833,KIRC
-70.247925,3.6334677,KIRC
-77.2493,35.728363,KIRC
20.525923,-15.978048,PRAD
61.451717,80.469475,BRCA
44.361122,22.610132,PRAD
14.84518,-4.6998053,BRCA
-18.981869,4.679661,LUAD
-15.526265,1.9558105,LUAD
-0.93602383,-45.35574,BRCA
21.082489,12.389385,PRAD
41.30334,10.316933,BRCA
10.380595,44.894203,PRAD
-14.122593,-23.40204,BRCA
25.172201,-44.477005,BRCA
-2.981277,-38.91462,BRCA
-17.78866,5.437958,LUAD
9.500739,-12.642258,BRCA
-73.86456,13.029784,KIRC
-4.6235394,-8.314426,LUAD
-96.901726,-8.120967,KIRC
-84.84073,5.64101,KIRC
-23.093777,-19.050426,LUAD
-43.645466,-76.49664,BRCA
-90.1006,5.6160264,KIRC
30.138386,42.32467,PRAD
-15.191483,-33.043148,BRCA
-6.002133,-11.1419935,LUAD
36.365257,79.181816,LUAD
16.528942,-16.009846,PRAD
67.12104,15.695827,COAD
63.714764,68.654396,BRCA
-83.22038,23.284904,KIRC
-12.9203,8.705375,PRAD
-74.89174,14.649858,KIRC
37.665665,10.319714,COAD
10.176635,-9.197034,BRCA
-80.176544,27.483398,KIRC
-67.51077,45.70778,KIRC
-0.21473096,-36.32608,LUAD
33.144302,44.369488,PRAD
-18.750645,6.2926483,PRAD
-29.84556,-2.7868698,LUAD
15.220338,13.999906,LUAD
-85.3834,27.360325,KIRC
-5.588516,-21.052244,BRCA
1.3057935,-27.860579,BRCA
43.372784,16.565273,COAD
32.9045,-48.419334,BRCA
32.346786,37.96182,PRAD
-9.402974,10.641345,COAD
6.877192,-19.33772,BRCA
20.825943,16.455442,PRAD
-82.05925,14.901946,KIRC
29.579273,135.70976,PRAD
14.42262,1.1940609,PRAD
10.964221,27.425198,PRAD
-9.395719,-51.48589,BRCA
21.06555,-14.519665,COAD
